,Song,Artist,position,id,Keywords,lyrics
10,Just The Way You Are,Bruno Mars,22,10,"way, amazing, girl, face, thing","Oh, her eyes, her eyes
Make the stars look like they're not shining
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her everyday

Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she doesn't see what I see
But every time she asks me, do I look okay
I say

When I see your face
There is not a thing that I would change
Cause you're amazing
Just the way you are

And when you smile
The whole world stops and stares for a while
Cause, girl, you're amazing
Just the way you are, hey

Her lips, her lips
I could kiss them all day if she let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful
And I tell her everyday

Oh, you know, you know
You know I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay,
You know I'll say

When I see your face
There is not a thing that I would change
Cause you're amazing
Just the way you are

And when you smile
The whole world stops and stares for a while
Cause, girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing I would change
Cause you're amazing
Just the way you are

And when you smile,
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are, yeah"
11,TiK ToK,Ke$ha,24,11,"party, dj, speakers, tonight, fight","Wake up in the mornin' feeling like P. Diddy (Hey, what up, girl?)
Grab my glasses, I'm out the door, I'm gonna hit this city (Let's go!)
Before I leave, brush my teeth, with a bottle of Jack
'Cause when I leave for the night I ain't comin' back

I'm talkin' pedicure on our toes, toes
Tryin' on all our clothes, clothes
Boys blowin' up our phones, phones

Drop-toppin', playin' our favorite CDs
Pullin' up to the parties
Tryin' to get a little bit tipsy

Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh

Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh

Ain't got a care in the world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now the dudes are linin' up 'cause they hear we got swagger
But we kick 'em to the curb unless they look like Mick Jagger

I'm talkin' 'bout everybody gettin' crunk, crunk
Boys tryin' to touch my junk, junk
Gonna smack him if he gettin' too drunk, drunk

Now, now we go until they kick us out, out
Or the police shut us down, down
Police shut us down, down, po-po shut us down

Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh

Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh

DJ, you build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, you got me now
You got that sound, yeah, you got me

DJ, you build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, put your hands up
Put your hands up!

Now, the party don't start till I walk in

Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh

Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh"
12,One More Night,Maroon 5,28,12,"night, body, baby, head, stupid","You and I go hard at each other like we're going to war
You and I go rough, we keep throwing things and slamming the door
You and I get so damn dysfunctional, we start keeping score
You and I get sick, yeah, I know that we can't do this no more

Yeah, but baby there you go again, there you go again, making me love you
Yeah, I stopped using my head, using my head, let it all go
Got you stuck on my body, on my body, like a tattoo
And now I'm feeling stupid, feeling stupid, crawling back to you

So I cross my heart and I hope to die
That I'll only stay with you one more night
And I know I said it a million times
But I'll only stay with you one more night

Try to tell you ""no"" but my body keeps on telling you ""yes""
Try to tell you ""stop"", but your lipstick got me so out of breath
I'll be waking up in the morning, probably hating myself
And I'll be waking up, feeling satisfied but guilty as hell

Yeah, but baby there you go again, there you go again, making me love you
Yeah, I stopped using my head, using my head, let it all go
Got you stuck on my body, on my body, like a tattoo
And now I'm feeling stupid, feeling stupid, crawling back to you

So I cross my heart and I hope to die, yeah
That I'll only stay with you one more night, oh
And I know I said it a million times, yeah
But I'll only stay with you one more night, yeah

Yeah, baby, give me one more night
Yeah, baby, give me one more night, whoa, yeah
Yeah, baby, give me one more night, oh, yeah

Yeah, but baby there you go again, there you go again making me love you
Yeah, I stopped using my head, using my head, let it all go
Got you stuck on my body, on my body like a tattoo
Yeah, yeah, yeah, yeah

So I cross my heart and I hope to die
That I'll only stay with you one more night
And I know I said it a million times
But I'll only stay with you one more night

So I cross my heart and I hope to die, yeah, yeah
That I'll only stay with you one more night, yeah, yeah
And I know I said it a million times, yeah, yeah
But I'll only stay with you one more night, yeah, yeah
I don't know, whatever"
13,That's What I Like,Bruno Mars,30,13,"lucky, baby, girl, gold, jewelry","I got a condo in Manhattan
Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a pimp
Pop, pop it for me
Turn around and drop it for a pimp
Drop, drop it for me
I'll rent a beach house in Miami
Wake up with no jammies
Lobster tail for dinner
Julio serve that scampi
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl, I'll be on fleek, ah, mamacita
I will never make a promise that I can't keep
I promise that you'll smile and gon' never leave
Shopping sprees in Paris
Everything 24 carats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (is it you?) Is it me? (is it me?)
Say it's us (say it's us) and I'll agree, baby

Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like"
14,The Hills,The Weeknd,31,14,"real, fikir, half, past, time","Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it but your friends know

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Hills have eyes, the hills have eyes
Who are you to judge, who are you to judge?
Hide your lies, girl, hide your lies
Only you to trust, only you

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only fuck you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir"
15,All Of Me,John Legend,32,15,"head, mind, curves, edges, perfect","What would I do without your smart mouth
Drawing me in, and you kicking me out?
You've got my head spinning, no kidding
I can't pin you down

What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water
But I'm breathing fine
You're crazy, and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh

How many times do I have to tell you
Even when you're crying, you're beautiful too?
The world is beating you down
I'm around through every mood

You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing in my head for you

My head's under water
But I'm breathing fine
You're crazy, and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh

Give me all of you
Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh"
16,Shake It Off,Taylor Swift,34,16,"mm, fake, baby, break, people","I stay out too late
Got nothing in my brain
That's what people say, mm-mm
That's what people say, mm-mm

I go on too many dates
But I can't make 'em stay
At least that's what people say, mm-mm
That's what people say, mm-mm

But I keep cruising
Can't stop, won't stop moving
It's like I got this music
In my mind, saying it's gonna be alright

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate, baby
I'm just gonna shake, shake, shake, shake, shake
Shake it off, I shake it off

Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake, baby
I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off

I'll never miss a beat
I'm lightning on my feet
And that's what they don't see, mm-mm
That's what they don't see, mm-mm

I'm dancing on my own (Dancin' on my own)
I'll make the moves up as I go (Moves up as I go)
And that's what they don't know, mm-mm
That's what they don't know, mm-mm

But I keep cruising
Can't stop, won't stop grooving
It's like I got this music
In my mind, saying it's gonna be alright

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate, baby
I'm just gonna shake, shake, shake, shake, shake
Shake it off, I shake it off

Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake, baby
I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off

Shake it off, I shake it off
I-I-I shake it off, I shake it off
I-I-I shake it off, I shake it off
I-I-I shake it off, I shake it off

Hey, hey, hey
Just think while you've been getting down and out
About the liars, and the dirty dirty cheats of the world
You coulda been getting down to this sick beat

My ex man brought his new girlfriend
She's like ""Oh, my God!"" but I'm just gonna shake it
To the fella over there with the hella good hair
Won't you come on over baby we could shake, shake, shake (Yeah, oh)

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate, baby (Haters gonna hate)
I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off

Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake, baby
I'm just gonna shake, shake, shake, shake, shake
Shake it off, I shake it off

Shake it off, I shake it off
I-I-I shake it off, I shake it off
I-I-I shake it off, I shake it off
I-I-I shake it off, I shake it off

Shake it off, I shake it off
I-I-I shake it off, I shake it off
(You got to) I-I-I shake it off, I shake it off
I-I-I shake it off, I shake it off"
17,Radioactive,Imagine Dragons,36,17,"new, age, radioactive, bones, system","I'm waking up to ash and dust
I wipe my brow, and I sweat my rust
I'm breathing in the chemicals

I'm breaking in and shaping up
Then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up
I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive

I raise my flag, and dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Whoa

I'm breaking in and shaping up
Then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up
I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive

All systems go
The sun hasn't died
Deep in my bones
Straight from inside

I'm waking up
I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive"
18,Sexy And I Know It,LMFAO,37,18,"girl, body, sexy, look, pants","When I walk on by, girls be looking like damn he fly
I pay to the beat, walking on the street with in my new lafreak, yeah
This is how I roll, animal print, pants out control
It's real fool with the big F O
They like bruce lee rock at the club

Girl look at that body
Girl look at that body
Girl look at that body
I work out
Girl look at that body
Girl look at that body
Girl look at that body
I work out

When I walk in the spot, this is what I see
Everybody stops and they staring at me
I got passion in my pants and I ain't afraid to show it
(show it, show it, show it...)

I'm sexy and I know it
I'm sexy and I know it

When I'm at the moss, purity just can't fight them up
When I'm at the beach, I'm in a speedo trying to tan my cheeks
This is how I roll, come on ladies it's time to go
We hit it to the bar, baby don't be nervous
No shows, no shirt, and I still get serviced

Girl look at that body
Girl look at that body
Girl look at that body
I work out
Girl look at that body
Girl look at that body
Girl look at that body
I work out

When I walk in the spot, this is what I see
Everybody stops and they staring at me
I got passion in my pants and I ain't afraid to show it
(show it, show it, show it...)

I'm sexy and I know it
I'm sexy and I know it

Check it out
...
I'm sexy and I know it

Girl look at that body
Girl look at that body
Girl look at that body
I work out
Girl look at that body
Girl look at that body
Girl look at that body
I work out
...
I'm sexy and I know it"
19,Someone Like You,Adele,38,19,"love, mind, best, blue, uninvited","I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that, for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you two
Don't forget me, I beg
I'll remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead, yeah

You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that, for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you two
Don't forget me, I beg
I'll remember you said
Sometimes it lasts in love, but sometimes it hurts instead

Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

Never mind, I'll find someone like you
I wish nothing but the best for you
Don't forget me, I beg
I'll remember you said
Sometimes it lasts in love, but sometimes it hurts instead

Never mind, I'll find someone like you
I wish nothing but the best for you two
Don't forget me, I beg
I'll remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead, yeah, yeah"
20,Counting Stars,OneRepublic,39,20,"river, money, stars, sink, lessons","Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be counting stars

Yeah, we'll be counting stars

I see this life like a swinging vine
Swing my heart across the line
And my face is flashing signs
Seek it out and ye shall find

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told

I feel something so, but right doing the wrong thing
And I feel something so wrong, but doing the right thing
I could lie, could lie, could lie
Everything that kills me makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be, we'll be counting stars

I feel the love, and I feel it burn
Down this river, every turn
Hope is a four-letter word
Make that money, watch it burn

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told

And I feel something so wrong, but doing the right thing
I could lie, could lie, could lie
Everything that drowns me makes me wanna fly

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be, we'll be counting stars

Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned

Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned

Everything that kills me makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said, no more counting dollars, we'll be, we'll be counting stars

Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned

Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned"
21,Trap Queen,Fetty Wap,41,21,"baby, money, bands, trap, queen","Remy Boyz, yeaahhhh
1738

I'm like ""Hey, what's up? Hello""
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a 100 grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be letting bands go
Everybody hating, we just call them fans though
In love with the money, I ain't never lettin' go

And I get high with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies with my baby

I hit the strip with my trap queen cause all we know is bands
I just might snatch up a 'Rari and buy my boo a Lamb'
I might just snatch her a necklace, drop a couple on a ring
She ain't wantin' for nothin' because I got her everything
It's big ZooWap from the bando, remind me where I can't go
Remy Boyz got the stamp, though
Count up hella them bands though
Boy how far can your bands go?
Fetty Wap I'm livin' fifty thousand
K how I stand though, if you checkin' for my pockets I'm like

And I get high with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies with my baby

I'm like ""hey, what's up, hello""
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a 100 grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be letting bands go
Everybody hating, we just call them fans though
In love with the money, I ain't never lettin' go

I be smokin' dope and you know Backwoods what I roll
Remy Boyz, Fetty eating shit up that's fasho
I'll run in ya house, then I'll fuck your ho
Cause Remy Boyz or nothin', Re-Re-Remy Boyz or nothin'

(She my trap queen)
Yeah, you hear my boy
(She my trap queen)
Soundin' like a zillion bucks on the track
(She my trap queen)
I got whatever on my boy, whatever
(And I get high with my baby)
Put your money where your mouth is
Money on the wood make the game go good
Money out of sight cause fights
Put up or shut up, huh?
Nitt Da Gritt, RGF Productions
(ZooWap)"
22,Love Yourself,Justin Bieber,42,22,"baby, somethin', way, wrong, times","For all the times that you rain on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl for goodness sake
You think I'm crying on my own, well I ain't

And I didn't wanna write a song
Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I be movin' on
And I think you should be somethin'
I don't wanna hold back, maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

And when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song
Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I be movin' on
And I think you should be somethin'
I don't wanna hold back, maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

For all the times that you made me feel small
I fell in love, now I feel nothin' at all
Had never felt so low when I was vulnerable
Was I a fool to let you break down my walls?

Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself"
23,Firework,Katy Perry,43,23,"awe, boom, moon, baby, firework","Do you ever feel like a plastic bag?
Drifting through the wind
Wanting to start again
Do you ever feel, feel so paper-thin?
Like a house of cards
One blow from caving in

Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

You don't have to feel like a wasted space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow

Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through-ough-ough

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon"
24,Locked Out Of Heaven,Bruno Mars,45,24,"feel, heaven, sex, paradise, rest","One, two, one, two, three

Oh, yeah-yeah
Oh, yeah-yeah, yeah-yeah
Oh, yeah-yeah
Oh, yeah-yeah, yeah-yeah

Never had much faith in love or miracles
Never wanna put my heart on deny
But swimming in your world is something spiritual
I'm born again every time you spend the night

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah, yeah, yeah

'Cause you make feel like
I've been locked out of Heaven
For too long, for too long

Yeah, you make feel like
I've been locked out of Heaven
For too long, for too long

Oh, yeah-yeah, yeah-yeah
Oh, yeah-yeah
Oh, yeah-yeah, yeah-yeah

You bring me to my knees, you make me testify
You can make a sinner change his ways
Open up your gates 'cause I can't wait to see the light
And right there is where I wanna stay

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah, yeah, yeah

'Cause you make feel like
I've been locked out of Heaven
For too long, for too long

Yeah, you make feel like
I've been locked out of Heaven
For too long, for too long

Oh, yeah
Can I just stay here? Spend the rest of my days here
Oh, yeah
Can I just stay here? Spend the rest of my days here

'Cause you make feel like
I've been locked out of Heaven
For too long, for too long

Yeah, you make feel like
I've been locked out of Heaven
For too long, for too long

Oh, yeah-yeah, yeah-yeah
Oh, yeah-yeah
Oh, yeah-yeah, yeah-yeah"
25,Thinking Out Loud,Ed Sheeran,47,25,"love, baby, heart, arms, light","When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?

And, darling, I will be loving you till we're 70
And, baby, my heart could still fall as hard at 23
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe just the touch of a hand
Well, me, I fall in love with you every single day
And I just wanna tell you I am

So, honey, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

When my hair's all but gone, and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same

'Cause, honey, your soul could never grow old, it's evergreen
And, baby, your smile's forever in my mind and memory
I'm thinking 'bout how people fall in love in mysterious ways
And maybe it's all part of a plan
Well, I'll just keep on making the same mistakes
Hoping that you'll understand

That, baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
And maybe we found love right where we are

La la la, la la la, la la la, la la la loud

So, baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh, darling, place your head on my beating heart
I'm thinking out loud
Then maybe we found love right where we are
Oh, baby, we found love right where we are
And we found love right where we are"
26,Sorry,Justin Bieber,48,26,"sorry, late, body, shot, angry","You gotta go and get angry at all of my honesty
You know I try but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
By once or twice I mean maybe a couple a hundred times
So let me, oh let me redeem, oh redeem, oh myself tonight
Cause I just need one more shot at second chances

Yeah, is it too late now to say sorry?
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, yeah
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?

I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

Is it too late now to say sorry?
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?

I'm not just trying to get you back on me
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?"
